"HolderAddress","Balance","PendingBalanceUpdate"
"0xdeb300e32e4fd04badb6945053c8c428fc576413","2052.43583319","No"
"0xdeb43c35ac38cd803883b0a80bdc3a12670bed5d","22.92541695","No"
"0xdeb5e360d23b62f9c776a185c2741ea67371c30d","9958","No"
"0xdeb6e4fb6b8681ae9c9d42bf82624d1ff675a3e5","26000","No"
"0xdebabe8e16957fc58e198f172c1c850e3505ab38","830","No"
"0xdebb62fc89be21f1834bffc1bbde43c37bce23a3","5820.086","No"
"0xdebed054ba938043d0aee3184265cc909dbaf184","647.55937869","No"
"0xdebf332b1d4b9ea433e90176edb40fff08a70157","10180.72641916","No"
"0xdebf3370f2ea2f3b20fa9c23788629df0e879257","64024.492","No"
"0xdec76dacdb85b2065ef9774bd8e290ca7e4119f0","503.25038023","No"
"0xdeca809ee5823770e5602208ea562d92504bb295","981.17878584","No"
"0xdeccb88f1af8c465a205d3af8cad8b3b902aa3ac","506.4079338","No"
"0xded034470a008a73d8e1fe76ae8a0a261719cbbe","7350","No"
"0xded124e1ff966bf754b68c747c29062de3f7237c","11007.026","No"
"0xded312f49220c9e3e6e459dd0f7ec358ebd86ead","623.4717","No"
"0xdedd7e9925ecaeb77d3a1c7fdd9ca0c54c5e19a0","20","No"
"0xdee00c2d7bd8dd3547c874c33e083e6fd10ac9ea","242","No"
"0xdee1bf8e2723738ee64c320d42822f77c33801c0","19863.486","No"
"0xdee2190a907037ce09feb8ee080f8e4bba9532ad","1151.5726","No"
"0xdee3bf07643feb96602ca412467e4e70582ce73e","106.482","No"
"0xdee7e18dcd578a899a72da4d70e81ad663ee0ff1","2442.1339565","No"
"0xdeedc6d6d79197f7411fc28f0e3ed60a2cedf5e5","1","No"
"0xdeee24798233d87c83ee3fe6ffe3d8cfb06ad6bc","532.4738526","No"
"0xdef58213a2f93d8e183857071061aa2da3304178","15221.3493","No"
"0xdef9813e8a08e944d200f124076e7ba339b2e08c","422.09268665","No"
"0xdefdd7bc3d3ecd65be26604a857011b15bc046d3","5224","No"
"0xdf0097869ea935db45790b2b48eccf8e0fd4ba91","6910","No"
